query_id,corpus_id
qd4982518,dd4b89cbc
qd4982518,dd4bbdb16
qd4982518,dd4bb016e
qd4982518,dd497340a
qd4982518,dd4bb5506
qd4982518,dd4bf84f0
qd4982518,dd4c4f7aa
qd4982518,dd4bdf78e
qd4982518,dd4c4fb38
qd4982518,dd4bf5c14
qd49795a8,dd4c5b0c8
qd49795a8,dd4c50e34
qd49795a8,dd4c0d2d8
qd49795a8,dd4c4fec6
qd49795a8,dd4b91c64
qd49795a8,dd4bce2b8
qd49795a8,dd496fc06
qd49795a8,dd4b8f518
qd49795a8,dd4bbe0d4
qd49795a8,dd497340a
qd496f724,dd4bc7b52
qd496f724,dd4c4fec6
qd496f724,dd4c5b0c8
qd496f724,dd4baa93a
qd496f724,dd4bbe0d4
qd496f724,dd4c0d2d8
qd496f724,dd4c52716
qd496f724,dd4b91c64
qd496f724,dd4c61aa4
qd496f724,dd4bce2b8
qd496f102,dd4c5b0c8
qd496f102,dd4b91c64
qd496f102,dd4c4fec6
qd496f102,dd4c61aa4
qd496f102,dd4c50e34
qd496f102,dd4976286
qd496f102,dd4bb10f0
qd496f102,dd4b8db3c
qd496f102,dd4c4c636
qd496f102,dd4baa93a
qd496f918,dd4baa93a
qd496f918,dd4c4fec6
qd496f918,dd4b8f518
qd496f918,dd496fc06
qd496f918,dd4c4c636
qd496f918,dd4c0d2d8
qd496f918,dd4bd25ac
qd496f918,dd4be4f72
qd496f918,dd4c50e34
qd496f918,dd4bbe0d4
qd49859fc,dd4baa93a
qd49859fc,dd4c0e49e
qd49859fc,dd4c0419c
qd49859fc,dd498f254
qd49859fc,dd4c4fec6
qd49859fc,dd4c51b22
qd49859fc,dd496fc06
qd49859fc,dd4b91c64
qd49859fc,dd4c61aa4
qd49859fc,dd4c50e34
qd4981d2a,dd4b91c64
qd4981d2a,dd4c4fec6
qd4981d2a,dd4c61aa4
qd4981d2a,dd4baa93a
qd4981d2a,dd4c0d2d8
qd4981d2a,dd4b8b896
qd4981d2a,dd4baf840
qd4981d2a,dd4b8f518
qd4981d2a,dd4976286
qd4981d2a,dd4bbe0d4
qd497d4aa,dd498f254
qd497d4aa,dd4c63f0c
qd497d4aa,dd4bedf0a
qd497d4aa,dd4c14cea
qd497d4aa,dd4976a9c
qd497d4aa,dd4bd25ac
qd497d4aa,dd4bc2e5e
qd497d4aa,dd4c4e0f8
qd497d4aa,dd4c51b22
qd497d4aa,dd4bdbdd2
qd497e0ee,dd4be409a
qd497e0ee,dd4c001dc
qd497e0ee,dd4b8fae0
qd497e0ee,dd4bfc9d8
qd497e0ee,dd4bee4e6
qd497e0ee,dd4bb3814
qd497e0ee,dd4bc9326
qd497e0ee,dd497da9a
qd497e0ee,dd497340a
qd497e0ee,dd4bca5fa
qd49850c4,dd497a3f4
qd49850c4,dd49763da
qd49850c4,dd4c4bc68
qd49850c4,dd4976a9c
qd49850c4,dd4c129b8
qd49850c4,dd4c42172
qd49850c4,dd4c4fec6
qd49850c4,dd497ff02
qd49850c4,dd4bd7228
qd49850c4,dd4bbde0e
qd4982d6a,dd4bae6b6
qd4982d6a,dd4c0d2d8
qd4982d6a,dd4c0419c
qd4982d6a,dd4bd25ac
qd4982d6a,dd4c4fec6
qd4982d6a,dd496fc06
qd4982d6a,dd4b8dc72
qd4982d6a,dd4bdf78e
qd4982d6a,dd496d5d2
qd4982d6a,dd4be3974
qd498998a,dd4baa93a
qd498998a,dd4bd25ac
qd498998a,dd4c0e49e
qd498998a,dd498f254
qd498998a,dd4c50e34
qd498998a,dd4b91c64
qd498998a,dd4c51b22
qd498998a,dd4b8db3c
qd498998a,dd4c4c636
qd498998a,dd4be643a
qd4977906,dd4c4fec6
qd4977906,dd4b99900
qd4977906,dd4c4c636
qd4977906,dd4b8ece4
qd4977906,dd4b8db3c
qd4977906,dd4bfde14
qd4977906,dd4bbe0d4
qd4977906,dd4c246b8
qd4977906,dd4bfe2a6
qd4977906,dd4c50e34
qd498a6dc,dd497bae2
qd498a6dc,dd4c38834
qd498a6dc,dd4b9452c
qd498a6dc,dd4c1f924
qd498a6dc,dd496e3c4
qd498a6dc,dd4981082
qd498a6dc,dd4ba1308
qd498a6dc,dd497de0a
qd498a6dc,dd4c51d20
qd498a6dc,dd496ebc6
qd498f128,dd4c5b0c8
qd498f128,dd4c52716
qd498f128,dd4baa93a
qd498f128,dd4c4fec6
qd498f128,dd4b9f918
qd498f128,dd4bdbdd2
qd498f128,dd4982158
qd498f128,dd4b8db3c
qd498f128,dd4b8f518
qd498f128,dd497da9a
qd4973770,dd4c5bc8a
qd4973770,dd49737c0
qd4973770,dd497947c
qd4973770,dd4c14416
qd4973770,dd4c5179e
qd4973770,dd4bd8100
qd4973770,dd4c59034
qd4973770,dd4bc2440
qd4973770,dd4bbbab4
qd4973770,dd4c3ee78
qd498d6fc,dd4b91c64
qd498d6fc,dd4c61aa4
qd498d6fc,dd4976286
qd498d6fc,dd4baf840
